1.38392,0,0,0,73.3209,29.8594,83.6206,108.6973,97.12,169.28,22.8166666666667
1.38392,0,0,0,73.3209,29.8594,83.6206,108.6973,97.12,169.28,22.8166666666667
1.10517,+AC0-0.0296,0.0148,0.0087,75.8073,25.4672,32.4574,107.7905,119.64,217.82,23.3666666666667
1.10517,+AC0-0.0296,0.0148,0.0087,75.8073,25.4672,32.4574,107.7905,119.64,217.82,23.3666666666667
1.33827,+AC0-0.0525,+AC0-0.0217,+AC0-0.0148,24.1132,42.9499,131.866,109.7674,156.03,22.32,23.8166666666667
1.33827,+AC0-0.0525,+AC0-0.0217,+AC0-0.0148,24.1132,42.9499,131.866,109.7674,156.03,22.32,23.8166666666667
1.3069,+AC0-0.0468,0.0296,0.0553,30.8148,22.1276,109.7238,108.7126,79.92,+AC0-164.51,25.5666666666667
1.3069,+AC0-0.0468,0.0296,0.0553,30.8148,22.1276,109.7238,108.7126,79.92,+AC0-164.51,25.5666666666667
1.30692,+AC0-0.071000000000001,+AC0-0.0057,0.0381,34.8367,17.7347,109.3498,109.8255,87.04,118.06,30.0833333333333
1.30692,+AC0-0.071000000000001,+AC0-0.0057,0.0381,34.8367,17.7347,109.3498,109.8255,87.04,118.06,30.0833333333333
1.26067,+AC0-0.0651,0.007,0.0101,35.3004,18.9549,119.3965,110.143,200.94,63.32,33.45
1.26067,+AC0-0.0651,0.007,0.0101,35.3004,18.9549,119.3965,110.143,200.94,63.32,33.45
1.37689,+AC0-0.050800000000001,0.0117,0.0569,37.1006,16.6669,185.6594,108.9148,205.88,+AC0-67.42,33.7666666666667
1.37689,+AC0-0.050800000000001,0.0117,0.0569,37.1006,16.6669,185.6594,108.9148,205.88,+AC0-67.42,33.7666666666667
1.34355,+AC0-0.0731,0.0115,+AC0-0.0437,30.4136,20.9126,62.5299,108.3515,47.79,+AC0-84.78,41.1666666666667
1.34355,+AC0-0.0731,0.0115,+AC0-0.0437,30.4136,20.9126,62.5299,108.3515,47.79,+AC0-84.78,41.1666666666667
1.45277,+AC0-0.0723,0.0096,+AC0-0.0155,30.2828,20.7864,79.9156,107.0992,80.41,427.34,42.2333333333333
1.45277,+AC0-0.0723,0.0096,+AC0-0.0155,30.2828,20.7864,79.9156,107.0992,80.41,427.34,42.2333333333333
1.36157,+AC0-0.076600000000001,0.0138,+AC0-0.0068,29.9591,21.0411,57.5273,105.0449,100.47,138.19,42.6333333333333
1.36157,+AC0-0.076600000000001,0.0138,+AC0-0.0068,29.9591,21.0411,57.5273,105.0449,100.47,138.19,42.6333333333333
1.20424,+AC0-0.0639,+AC0-0.0082,+AC0-0.0865,30.2399,20.5238,65.7957,108.1002,8.87,5.15,44.2333333333333
1.31316,+AC0-0.083600000000001,0.0243,0.0199,28.5754,21.0545,29.0496,105.5114,79.5,+AC0-178.24,44.2666666666667
1.31316,+AC0-0.083600000000001,0.0243,0.0199,28.5754,21.0545,29.0496,105.5114,79.5,+AC0-178.24,44.2666666666667
1.25585,+AC0-0.0749,0.0171,0.0076,28.8565,20.55,64.6952,105.6008,80.06,24.6,44.5166666666667
1.25585,+AC0-0.0749,0.0171,0.0076,28.8565,20.55,64.6952,105.6008,80.06,24.6,44.5166666666667
1.16593,+AC0-0.0487,0.0162,+AC0-0.0345,31.6093,18.8107,112.9163,106.5245,130.19,28.23,47.8
1.16593,+AC0-0.0487,0.0162,+AC0-0.0345,31.6093,18.8107,112.9163,106.5245,130.19,28.23,47.8
1.39408,+AC0-0.071700000000001,0.0328,0.0223,30.8875,17.3294,46.5433,108.204,67.13,+AC0-121.69,72.1166666666667
1.39408,+AC0-0.071700000000001,0.0328,0.0223,30.8875,17.3294,46.5433,108.204,67.13,+AC0-121.69,72.1166666666667
1.46729,+AC0-0.0906,0.0208,+AC0-0.1115,20.6336,14.9538,19.8842,105.9295,128.17,+AC0-66.57,89.0666666666667
1.46729,+AC0-0.0906,0.0208,+AC0-0.1115,20.6336,14.9538,19.8842,105.9295,128.17,+AC0-66.57,89.0666666666667
1.29248,+AC0-0.069900000000001,0.0348,+AC0-0.1031,17.5031,13.567,30.7057,105.0246,120.12,333.12,93.0166666666667
1.29248,+AC0-0.069900000000001,0.0348,+AC0-0.1031,17.5031,13.567,30.7057,105.0246,120.12,333.12,93.0166666666667
1.26299,+AC0-0.088900000000001,0.0215,+AC0-0.1263,17.9973,13.6428,0.0996,101.8554,36.17,73.24,94.9333333333333
1.26299,+AC0-0.088900000000001,0.0215,+AC0-0.1263,17.9973,13.6428,0.0996,101.8554,36.17,73.24,94.9333333333333
1.25664,+AC0-0.073600000000001,0.0357,+AC0-0.2078,6.5455,6.1739,22.7198,103.3363,61.25,+AC0-347.42,114.366666666667
1.38917,+AC0-0.035100000000001,0.0184,+AC0-0.2399,5.5855,5.9848,93.5081,102.2502,76.45,307.75,114.766666666667
1.05097,+AC0-0.0754,0.0111,+AC0-0.2806,6.1927,13.6288,+AC0-43.2342,101.8595,75.46,+AC0-65.71,115.4
1.10167,+AC0-0.0968,0.0264,+AC0-0.2697,4.019,11.0341,+AC0-48.1568,104.5435,61.73,+AC0-195.6,115.816666666667
1.13723,+AC0-0.075200000000001,0.0215,+AC0-0.2814,3.7336,11.8769,+AC0-24.0423,103.5648,+AC0-23.24,659.37,116.1
