0.003333333,4.257,-0.02287606
0.103333333,4.222,0.005458946
0.136666667,4.239,-0.011377373
0.136666667,4.214,0.005797143
0.536666667,4.242,-0.004878122
0.553333333,4.215,0.015678361
0.586666667,4.235,-0.004275243
0.903333333,4.203,0.014060892
0.92,4.196,0.005532461
0.92,4.207,-0.013671235
0.92,4.205,-0.000143368
1.053333333,4.203,0.010678925
1.17,4.2,0.002562205
1.17,4.209,0.002224009
1.236666667,4.217,-0.010289269
1.27,4.192,0.013722696
1.486666667,4.219,-0.001496155
1.586666667,4.206,-0.00142264
1.636666667,4.222,-0.013671235
1.636666667,4.208,0.008385063
1.87,4.244,-0.009877557
1.97,4.224,0.007370473
2.836666667,4.237,0.001282933
2.903333333,4.231,-0.008451256
3.32,4.223,0.001091766
3.62,4.228,-0.011083315
3.936666667,4.234,0.002782749
4.186666667,4.241,-0.019200035
4.32,4.221,0.001429962
4.386666667,4.244,0.000827083
4.453333333,4.253,-0.010406921
4.57,4.263,-0.028934224
4.586666667,4.243,-0.007289637
4.62,4.235,-0.004584063
5.87,4.242,0.009017318
6.136666667,4.229,-0.011274482
6.136666667,4.238,-0.002819565
6.253333333,4.225,-0.012289072
8.336666667,4.249,-0.011274482
12.55333333,4.232,-0.005598653
13.73666667,4.238,-0.006275047
14.08666667,4.243,-0.014729964
15.45333333,4.253,-0.023258395
15.47,4.251,-0.0110098
15.82,4.263,-0.016420947
15.82,4.242,0.000827083
16.15333333,4.242,-0.00796603
17.52,4.227,0.014016754
18.17,4.254,-0.002481369
18.52,4.273,-0.008568909
18.85333333,4.272,-0.015671039
20.55333333,4.258,0.006385259
21.57,4.258,0.003679686
21.57,4.271,-0.015935721
22.25333333,4.225,0.011531724
25.02,4.216,-0.006245671
26.73666667,4.227,0.00390023
28.78666667,4.238,-0.007863139
29.45333333,4.229,0.000591778
31.22,4.245,0.006002924
31.55333333,4.231,0.010061285
31.88666667,4.231,0.010061285
33.27,4.274,-0.033154376
35.32,4.245,0.005061849
36.70333333,4.249,-0.0087307
40.17,4.253,-0.011436274
43.57,4.249,0.002650334
45.92,4.256,-0.001672708
46.95333333,4.24,0.018619092
47.30333333,4.24,0.007385087
48.67,4.239,-0.005731069
49.35333333,4.245,-0.008774839
52.38666667,4.232,-0.002951981
54.38666667,4.226,-0.012759684
54.72,4.239,-0.015465258
55.07,4.247,-0.021214601
55.42,4.249,-0.017832634
56.12,4.243,-0.014038956
56.12,4.26,-0.031022305
56.80333333,4.243,-0.016141651
57.15333333,4.234,-0.025611158
57.85333333,4.23,-0.020876404
58.90333333,4.234,-0.020200011
59.25333333,4.221,0.005429422
60.28666667,4.22,-0.00193739
60.62,4.244,-0.015200575
61.98666667,4.224,-0.007422052
61.98666667,4.255,-0.032036895
62.67,4.242,-0.016362195
63.02,4.24,-0.013583107
63.37,4.247,-0.024670082
66.07,4.26,-0.03297797
66.78666667,4.226,-0.005172328
67.12,4.248,-0.025125932
67.47,4.229,-0.010995186
67.82,4.233,-0.002540269
68.15333333,4.25,-0.020126496
69.18666667,4.231,-0.01253914
69.50333333,4.237,-0.019567756
71.58666667,4.229,-0.017200379
73.23666667,4.224,0.002753225
73.40333333,4.237,-0.017538576
73.47,4.229,-0.027610962
73.80333333,4.233,-0.022611526
77.43666667,4.225,-0.014230124
78.77,4.249,-0.030801761
85.90333333,4.253,-0.033124999
96.20333333,4.24,-0.022493873
100.2866667,4.271,-0.036771648
