0.003333333,0.00614,-0.01576,-0.00298,0.94408,-0.4113,28.94544,70.83944
0.22,-0.00336,0.00034,0.00122,-0.71442,-0.5383,6.20024,74.12824
0.536666667,-0.01376,0.00914,0.00012,1.01558,0.2114,-19.40796,69.42504
0.87,0.00204,0.00354,-0.01538,-1.14362,0.8055,-1.74306,73.10414
1.186666667,0.00894,0.00274,0.01702,-0.10162,-0.0673,-13.99466,69.15314
1.553333333,0.06634,-0.01346,0.11502,91.56138,42.5943,-67.11126,70.69764
1.653333333,0.08144,-0.03186,0.08572,93.95688,36.4421,7.24984,69.25184
1.72,0.06274,-0.02346,0.11412,93.56208,35.2241,-24.42856,71.18204
1.786666667,0.05864,-0.02596,0.12902,93.40608,34.9314,-43.14026,68.98134
1.97,0.06764,-0.02406,0.07582,93.01838,31.8056,-5.66716,71.92194
2.02,0.05734,-0.01816,0.10552,93.98718,32.3326,-42.46656,69.07494
2.153333333,0.06304,-0.03526,0.03072,92.37438,31.4865,-46.61496,75.01714
2.47,0.05534,-0.01206,0.09802,94.88748,29.3,-116.39576,67.06554
2.486666667,0.06324,-0.01536,0.09952,94.00528,29.295,-79.01916,68.53824
2.57,0.07784,-0.04316,0.03362,92.12818,29.941,-17.86106,74.54254
2.636666667,0.05974,0.01754,0.17252,93.27328,30.5646,-55.56516,68.36974
2.803333333,0.05394,-0.02166,0.08872,93.76918,29.8847,-93.70816,70.06644
3.036666667,0.08874,-0.00306,0.11512,93.99128,30.5567,-1.57326,67.40354
3.353333333,0.07534,-0.04656,0.00922,92.91788,28.6719,-4.05506,71.77644
3.403333333,0.07214,-0.00206,0.10232,92.49158,27.8761,-14.55956,68.78694
3.503333333,0.04964,-0.03446,-0.00178,92.41688,28.0579,-23.99886,73.58094
3.536666667,0.03854,0.00694,0.12362,92.80618,28.2885,-79.58596,69.82554
3.636666667,0.05004,-0.03706,0.01792,93.74088,30.3721,-52.11236,69.65634
3.886666667,0.06004,-0.03456,0.05792,91.51678,29.0742,-86.66096,70.32654
4.203333333,0.07354,0.00754,0.10652,90.13278,27.6127,-4.03136,75.77234
4.603333333,0.05264,-0.02226,0.03552,105.66118,33.9356,-80.10126,71.64094
4.686666667,0.09924,-0.00156,0.11682,107.91428,30.5996,-15.32976,68.59454
4.77,0.06974,-0.00486,0.06692,107.25838,29.3881,-79.13186,70.30654
